sdnn,lf_hf,hr,rmssd,pnn50,nn50,stress
48.7,5.076732078,92,18.39,1,8,42.68
49.16,5.430897635,92,18.17,1,8,45.65
49.16,5.430897635,91,18.17,1,8,45.18
49.16,5.430897635,91,18.17,1,8,45.18
48.14,5.60543044,91,18.21,1,8,46.66
48.09,6.287165724,90,18.37,1,8,52.1
47.48,6.48774907,92,18.41,1,8,54.79
47.35,7.423662632,90,18.57,1,9,62.32
47.35,7.423662632,90,18.57,1,9,62.32
45.28,9.304380952,90,17.92,1,6,80.32
45.28,9.304380952,92,17.92,1,6,81.24
45.28,9.304380952,93,17.92,1,6,81.71
44.52,7.364769579,95,17.45,1,5,64.14
44.64,6.234680043,100,16.48,0,3,56.48
44.64,6.234680043,101,16.48,0,3,57
44.64,6.234680043,102,16.48,0,3,57.52
43.82,6.705017301,102,16.53,0,3,61.68
44.62,6.644586895,102,16.41,0,3,61.14
44.62,6.644586895,102,16.41,0,3,61.14
46.62,4.852788757,101,18.43,1,7,45.26
46.62,4.852788757,100,18.43,1,7,44.74
46.62,4.852788757,98,18.43,1,7,43.73
46.62,4.852788757,98,18.43,1,7,43.73
46.33,5.198590002,98,18.37,1,7,46.6
46.33,5.198590002,98,18.37,1,7,46.6
46.33,5.198590002,98,18.37,1,7,46.6
47.26,5.34899504,96,18.6,1,7,46.87
47.26,5.34899504,94,18.6,1,7,45.9
47.61,6.265374513,96,18.78,1,7,54.75
46.95,6.046470536,96,18.96,1,8,52.84
46.95,6.046470536,96,18.96,1,8,52.84
46.95,6.046470536,97,18.96,1,8,53.33
48.5,6.095825185,98,19.06,1,8,54.26
48.5,6.095825185,99,19.06,1,8,54.76
48.5,6.095825185,99,19.06,1,8,54.76
49.03,6.405450734,102,18.85,1,8,59.02
49.63,6.397281621,102,18.91,1,9,58.95
49.63,6.397281621,101,18.91,1,9,58.43
51.24,6.355770732,104,18.66,1,9,59.63
51.22,7.071182053,104,18.49,1,9,66.03
51.09,6.54287889,105,18.32,1,9,61.82
50.39,7.737243108,104,17.36,1,9,72.16
50.39,7.737243108,105,17.36,1,9,72.7
50.39,7.737243108,104,17.36,1,9,72.16
49.88,7.653456908,104,17.26,1,9,71.38
49.88,7.653456908,103,17.26,1,9,70.85
49.88,7.653456908,103,17.26,1,9,70.85
49.69,6.993951032,101,17.47,2,10,63.76
49.14,7.026149684,99,17.45,2,10,63.03
49.14,7.026149684,98,17.45,2,10,62.53
49.68,6.828671976,97,17.66,1,9,60.25
49.15,7.780846237,99,17.66,1,9,69.97
